player_team,position,age,bye,standard_adp,standard_points,ppr_adp,ppr_points
Thomas Rawls - SEA,RB,24,6,97.55,6.10547684520668,97.55,7.02405351321311
Kenny Britt - CLE,WR,29,9,97.728,7.3876979791077,97.728,11.379056500008
Charles Clay - BUF,TE,28,6,97.79,4.93770823541939,97.79,8.2439004580882
Marqise Lee - JAC,WR,26,8,99.9167,6.12366703522309,99.9167,9.79288429210898
Adam Thielen - MIN,WR,27,9,100.17,6.85669674678899,100.17,10.8565409992006
Jeremy Hill - CIN,RB,25,6,100.244,6.58886988550869,100.244,7.42088444861549
Jordan Matthews - BUF,WR,25,6,100.384,6.87138995267698,100.384,10.8989924446384
Mike Wallace - BAL,WR,31,10,100.84,7.1322520344678,100.84,11.3631026172652
Duke Johnson - CLE,RB,24,9,101.126,6.6945752664344,101.126,10.5080926498749
Marvin Jones - DET,WR,27,7,101.132,6.84256047219028,101.132,10.4532844472707
Jacquizz Rodgers - TB,RB,27,11,101.434,4.51788363605602,101.434,5.61800196129873
John Brown - ARI,WR,27,8,101.526,6.53037474995553,101.526,9.97204950723708
Corey Coleman - CLE,WR,23,9,102.214,6.30685461244308,102.214,10.1575190541907
Eli Manning - NYG,QB,36,8,102.49,14.9019375325914,102.49,14.9019375325914
C.J. Prosise - SEA,RB,23,6,102.646,5.49997693448761,102.646,8.01061298754228
Chris Thompson - WAS,RB,27,5,102.9267,5.62035953448419,102.9267,8.68986315184754
Jason Witten - DAL,TE,35,6,103.232,5.27126918290291,103.232,9.26608178338522
Jay Prosch - HOU,RB,25,7,103.9,0.142344456471578,103.9,0.142344456471578
DOnta Foreman - HOU,RB,21,7,103.9933,4.12871207797275,103.9933,4.81227397117663
Andy Dalton - CIN,QB,30,6,104.248,16.2252679392259,104.248,16.2252679392259
James White - NE,RB,25,9,104.346,6.52659371482292,104.346,9.78975187398691
Derrick Henry - TEN,RB,23,8,104.3525,7.05454086555555,104.3525,8.15690722407645
Eric Ebron - DET,TE,24,7,104.496,5.84977868104242,104.496,9.82970985065657
Adam Vinatieri - IND,K,45,11,104.544,8.82330279470571,104.544,8.82330279470571
Jamaal Charles - DEN,RB,31,5,105.022,5.48592543134965,105.022,7.24210509372907
Mason Crosby - GB,K,33,8,105.082,8.78602954026058,105.082,8.78602954026058
Ted Ginn - NO,WR,32,5,105.618,6.90680960659784,105.618,10.2500295623856
O.J. Howard - TB,TE,23,11,106.524,4.33690322120424,106.524,7.01883890081589
Giovani Bernard - CIN,RB,26,6,106.7375,5.99998230002515,106.7375,8.4542678707647
Nick Folk - TB,K,33,11,107.2333,7.42830271926074,107.2333,7.42830271926074
Kai Forbath - MIN,K,30,9,107.38,7.96179071420201,107.38,7.96179071420201
Carson Wentz - PHI,QB,25,10,107.664,15.0648241188388,107.664,15.0648241188388
Cairo Santos - KC,K,26,10,107.71,8.17370691083836,107.71,8.17370691083836
Robert Turbin - IND,RB,28,11,107.9367,5.14432893954044,107.9367,6.88297775910199
Antonio Gates - LAC,TE,37,8,108.354,5.04723838926169,108.354,7.92398283874063
Cameron Meredith - CHI,WR,NA,9,108.4075,4.11131182739132,108.4075,6.08730296545102
Allen Hurns - JAC,WR,26,8,108.545,5.58163568130038,108.545,8.68808592401883
Breshad Perriman - BAL,WR,24,10,108.6475,5.9500232860098,108.6475,8.94425568892242
Tyrod Taylor - BUF,QB,28,6,108.88,16.3561104619284,108.88,16.3561104619284
Blake Bortles - JAC,QB,26,8,108.8975,10.8970462724896,108.8975,10.8970462724896
Darren Sproles - PHI,RB,34,10,109.216,6.3338633309768,109.216,9.49437880525332
Jamaal Williams - GB,RB,NA,8,109.61,5.29456840615602,109.61,5.99938333334049
Carson Palmer - ARI,QB,38,8,109.89,15.300814303268,109.89,15.300814303268
Caleb Sturgis - PHI,K,28,10,109.91,8.46672059043766,109.91,8.46672059043766
Zay Jones - BUF,WR,22,6,109.912,6.06551813928134,109.912,9.48892226549493
Jared Cook - OAK,TE,30,10,110.664,5.41211922206268,110.664,8.5922689407122
John Ross - CIN,WR,NA,6,110.896,4.67794815895775,110.896,6.97820301332668
Cole Beasley - DAL,WR,28,6,111.148,5.92312996974447,111.148,10.1111609163464
Sterling Shepard - NYG,WR,NA,8,111.63,5.67374088699964,111.63,9.36070387243654
Rex Burkhead - NE,RB,27,9,111.92,5.59230854057832,111.92,6.9135797784424
Nick Novak - HOU,K,NA,7,112.0325,8.02836822898215,112.0325,8.02836822898215
C.J. Fiedorowicz - HOU,TE,26,7,112.09,4.98095078408844,112.09,8.38859034719524
