"","player","week","fantpt"
"444","Roddy White","2",4.2
"445","Gary Barnidge","2",4.1
"446","Derek Carrier","2",4.1
"447","Alfred Blue","2",4
"448","Dwayne Bowe","2",4
"449","Shonn Greene","2",4
"450","Shane Vereen","2",4
"451","Vernon Davis","2",3.9
"452","Anthony Fasano","2",3.9
"453","Dexter McCluster","2",3.9
"454","Harry Douglas","2",3.8
"455","Eric Ebron","2",3.8
"456","Robert Griffin","2",3.7
"457","Robert Meachem","2",3.7
"458","Matt Forte","2",3.6
"459","Brian Hartline","2",3.6
"460","Roy Helu","2",3.6
"461","Doug Baldwin","2",3.5
"462","Anquan Boldin","2",3.4
"463","Tommy Bohanon","2",3.3
"464","Brandon Myers","2",3.3
"465","Reggie Bush","2",3.2
"466","Rob Gronkowski","2",3.2
"467","Pierre Thomas","2",3.2
"468","Jason Witten","2",3.2
"469","C.J. Anderson","2",3.1
"470","Donald Brown","2",3.1
"471","Charles Clay","2",3.1
"472","Orleans Darkwa","2",3.1
"473","Kendall Wright","2",3.1
"474","John Brown","2",3
"475","Dennis Pitta","2",3
"476","Kenny Britt","2",2.9
"477","Jarvis Landry","2",2.9
"478","Denarius Moore","2",2.9
"479","Preston Parker","2",2.9
"480","Mike Tolbert","2",2.8
"481","Reggie Wayne","2",2.8
"482","Scott Chandler","2",2.7
"483","Lance Dunbar","2",2.7
"484","Brandon Gibson","2",2.7
"485","Garrett Graham","2",2.6
"486","Justin Hunter","2",2.6
"487","Steve Johnson","2",2.6
"488","Joseph Randle","2",2.6
"489","Jermaine Gresham","2",2.5
"490","Derek Hagan","2",2.5
"491","Lance Kendricks","2",2.5
"492","Kenny Stills","2",2.5
"493","Rhett Ellison","2",2.4
"494","Jacquizz Rodgers","2",2.3
"495","Devonta Freeman","2",2.2
"496","Zach Miller","2",2.2
"497","Tavon Austin","2",2.1
"498","Junior Hemingway","2",2.1
"499","Chris Johnson","2",2.1
"500","Joseph Fauria","2",2
"501","Santonio Holmes","2",2
"502","Terrance Williams","2",2
"503","Benny Cunningham","2",1.9
"504","Michael Floyd","2",1.9
"505","DeSean Jackson","2",1.9
"506","Antone Smith","2",1.9
"507","Andre Williams","2",1.9
"508","Damien Williams","2",1.9
"509","James Develin","2",1.7
"510","Toby Gerhart","2",1.7
"511","Jordan Matthews","2",1.7
"512","Bryan Walters","2",1.7
"513","A.J. Jenkins","2",1.6
"514","Donte Moncrief","2",1.6
"515","Troy Niklas","2",1.6
"516","Chris Givens","2",1.5
"517","Jerrel Jernigan","2",1.5
"518","Heath Miller","2",1.5
"519","Donnie Avery","2",1.4
"520","Jeff Cumberland","2",1.4
"521","Chris Gragg","2",1.4
"522","Denard Robinson","2",1.4
"523","Aaron Dobson","2",1.3
"524","Coby Fleener","2",1.3
"525","Taylor Gabriel","2",1.3
"526","Robert Herron","2",1.3
"527","Allen Hurns","2",1.3
"528","Levine Toilolo","2",1.3
"529","Jamaal Charles","2",1.2
"530","Pierre Garcon","2",1.2
"531","Jerick McKinnon","2",1.2
"532","Philly Brown","2",1.1
"533","DuJuan Harris","2",1.1
"534","Marqise Lee","2",1.1
"535","Marcel Reece","2",1.1
"536","Mychal Rivera","2",1.1
"537","Khiry Robinson","2",1.1
"538","Cole Beasley","2",1
"539","Demetrius Harris","2",1
"540","Austin Johnson","2",1
"541","Torrey Smith","2",1
"542","Jonathan Grimes","2",0.9
"543","Vance McDonald","2",0.9
"544","Dante Rosario","2",0.9
"545","Brenton Bersin","2",0.8
"546","LeGarrette Blount","2",0.8
"547","Riley Cooper","2",0.8
"548","Cyrus Gray","2",0.8
"549","Cory Harkey","2",0.8
"550","John Kuhn","2",0.8
"551","Andrew Quarless","2",0.8
"552","Mike James","2",0.7
"553","Frank Summers","2",0.7
"554","Jarius Wright","2",0.7
"555","Jace Amaro","2",0.6
"556","Travis Benjamin","2",0.6
"557","Jarrett Boykin","2",0.6
"558","Michael Hoomanawanui","2",0.6
"559","Jacoby Jones","2",0.6
"560","Latavius Murray","2",0.6
"561","David Nelson","2",0.6
"562","Aldrick Robinson","2",0.6
"563","Rod Streater","2",0.6
"564","Jim Dray","2",0.5
"565","Gavin Escobar","2",0.5
"566","Carlos Hyde","2",0.5
"567","Robert Woods","2",0.5
"568","Marquise Goodwin","2",0.4
"569","Greg Jennings","2",0.4
"570","Damaris Johnson","2",0.4
"571","Rishard Matthews","2",0.4
"572","Knowshon Moreno","2",0.4
"573","Ben Watson","2",0.4
"574","Anthony Dixon","2",0.3
"575","Jorvorskie Lane","2",0.3
"576","Jeremy Ross","2",0.3
"577","Bishop Sankey","2",0.3
"578","Mike Williams","2",0.3
"579","Ronnie Brown","2",0.2
"580","Devin Hester","2",0.2
"581","Robert Hughes","2",0.2
"582","Ricardo Lockette","2",0.2
"583","Nate Washington","2",0.1
"584","Bruce Ellington","2",NA
"585","Corey Linsley","2",NA
"586","Solomon Patton","2",NA
"587","Jalen Saunders","2",NA
"588","Justin Brown","2",-1.4
"589","Quintin Demps","2",-2
"590","Isa Abdul-Quddus","2",NA
"591","Husain Abdullah","2",NA
"592","Oday Aboushi","2",NA
"593","Emmanuel Acho","2",NA
"594","Sam Acho","2",NA
"595","Mike Adams","2",NA
"596","Mike Adams","2",NA
"597","Phillip Adams","2",NA
"598","Mario Addison","2",NA
"599","Ray Agnew","2",NA
"600","Danny Aiken","2",NA
"601","Andrew Luck","3",32.3
"602","Julio Jones","3",28.1
"603","Kirk Cousins","3",27.6
"604","Nick Foles","3",26.2
"605","Marshawn Lynch","3",24.8
"606","Rashad Jennings","3",23.6
"607","Matt Ryan","3",23.6
"608","Russell Wilson","3",22
"609","Jeremy Maclin","3",21.4
"610","Alex Smith","3",21.1
"611","Antonio Brown","3",21
"612","Austin Davis","3",21
"613","Peyton Manning","3",20
"614","Pierre Garcon","3",19.8
"615","Kelvin Benjamin","3",19.5
"616","Drew Brees","3",19.5
"617","Drew Stanton","3",19.4
"618","Colin Kaepernick","3",19.2
"619","Philip Rivers","3",19.1
"620","Ryan Fitzpatrick","3",19
"621","Joe McKnight","3",18.7
"622","Jordan Matthews","3",17.9
"623","LeGarrette Blount","3",17.8
"624","DeSean Jackson","3",17.7
"625","Martellus Bennett","3",17.4
"626","Giovani Bernard","3",17.4
"627","Eli Manning","3",17.3
"628","John Brown","3",17.2
"629","Knile Davis","3",17.2
"630","Fred Jackson","3",17.2
"631","DeMarco Murray","3",17.1
"632","Victor Cruz","3",16.7
"633","Jay Cutler","3",16.4
"634","Eddie Royal","3",16.2
"635","Tony Romo","3",16.1
"636","Blake Bortles","3",15.9
"637","Reggie Bush","3",15.9
"638","EJ Manuel","3",15.9
"639","Ben Roethlisberger","3",15.9
"640","Le'Veon Bell","3",15.7
"641","Brian Hoyer","3",15.4
"642","Lorenzo Taliaferro","3",15.1
"643","Dez Bryant","3",14.9
"644","Emmanuel Sanders","3",14.9
"645","Geno Smith","3",14.6
"646","Michael Crabtree","3",14.4
"647","Ahmad Bradshaw","3",14.3
"648","Jeremy Kerley","3",14.1
"649","Lamar Miller","3",13.2
"650","Ryan Tannehill","3",13.1
"651","Andy Dalton","3",12.9
"652","Greg Olsen","3",12.9
"653","Tom Brady","3",12.7
"654","Cam Newton","3",12.7
"655","Allen Hurns","3",12.3
"656","Brian Quick","3",12.2
"657","Zac Stacy","3",12.1
"658","Alshon Jeffery","3",11.8
"659","Roy Helu","3",11.6
"660","DeAndre Hopkins","3",11.6
"661","Damaris Johnson","3",11.6
"662","Isaiah Crowell","3",11.5
"663","Michael Floyd","3",11.4
"664","Steven Jackson","3",11.4
"665","Kyle Juszczyk","3",11.4
"666","Joe Flacco","3",11.3
"667","Miles Austin","3",11.1
"668","Pierre Thomas","3",11.1
"669","Hakeem Nicks","3",11
"670","Coby Fleener","3",10.9
"671","Josh Hill","3",10.8
"672","Mike Glennon","3",10.7
"673","Devin Hester","3",10.5
"674","Aaron Rodgers","3",10.5
"675","Rob Gronkowski","3",10.4
"676","Dwayne Allen","3",10.3
"677","Steve Johnson","3",10.3
"678","Andrew Quarless","3",10.3
"679","A.J. Green","3",10.2
"680","Steve Smith","3",10.1
"681","Terrance West","3",10.1
"682","Jeremy Hill","3",9.9
"683","Ricardo Lockette","3",9.9
"684","Malcom Floyd","3",9.8
"685","Chris Ivory","3",9.6
"686","Travis Kelce","3",9.6
"687","Cecil Shorts","3",9.5
"688","Shonn Greene","3",9.3
"689","Derek Anderson","3",9.2
"690","Terrance Williams","3",9.2
"691","Mohamed Sanu","3",9.1
"692","Antone Smith","3",9
"693","Donald Brown","3",8.9
