"player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost"
"Thomas Rawls","RB",37,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9702336449676
"T.J. Yeldon","RB",100.3,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,15.9651122638503
"Todd Gurley","RB",6.3,1.06,26,NA,NA,NA,NA,54,NA,NA,NA,NA,13,NA,NA,NA,NA,77.2663482044834
"Tom Brady","QB",27.1,3.03,7,6,4,2,3,64.4,52.4,42.5,4.6,18.8,87,68,93,108,NA,60.1037116492621
"Tony Romo","QB",44,4.08,9,10,11,10,6,77.4,83,79.7,62.6,41.4,70,64,67,48,40,50.3064025185634
"Torrey Smith","WR",117.6,10.1,50,25,20,23,NA,124.4,59.6,53.8,61.8,NA,4,25,31,NA,NA,16.0884932125739
"Travis Benjamin","WR",123.8,11.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.99358846640568
"Travis Kelce","TE",78.8,7.07,4,18,NA,NA,NA,55.7,154.2,NA,NA,NA,17,NA,NA,NA,NA,23.0845584920311
"T.Y. Hilton","WR",38.2,4.02,9,24,25,NA,NA,23.8,58.7,63.3,NA,NA,57,15,7,NA,NA,43.175048989411
"Tyler Boyd","WR",155.7,13.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.24229988465594
"Tyler Eifert","TE",76.3,7.04,9,NA,17,NA,NA,98.2,NA,152.1,NA,NA,5,NA,NA,NA,NA,19.432744518574
"Tyler Lockett","WR",87,8.03,61,NA,NA,NA,NA,153.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6181233594507
"Tyrod Taylor","QB",73.6,7.02,20,NA,NA,NA,NA,147.3,NA,NA,NA,NA,7,NA,NA,NA,NA,19.8117941298705
"Victor Cruz","WR",150.8,13.07,34,17,11,10,NA,83.2,43.3,36.5,32.5,NA,1,42,36,36,NA,15.5607589328587
"Vincent Jackson","WR",138.9,12.07,31,13,12,27,5,73.9,35.5,38.4,67.8,18,15,42,36,26,55,14.8972637465939
"Will Fuller","WR",158.9,14.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709
"Willie Snead","WR",130.1,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.21700049816681
"Zach Ertz","TE",126.9,11.07,13,11,NA,NA,NA,132.2,96.3,NA,NA,NA,4,NA,NA,NA,NA,13.6330967033148
"Zach Miller","TE",159.1,14.03,NA,NA,NA,NA,12,NA,NA,NA,NA,121.4,NA,NA,NA,NA,2,8.2570672215182
"Aaron Hernandez","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,3.8073757533544
"Ahmad Bradshaw","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,55,NA,5.11491309332826
"Alfred Blue","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,4.2290830083564
"Andre Brown","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318
"Andre Ellington","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,37,NA,NA,NA,5.94775315756894
"Andre Johnson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,46,NA,47,71,6.25134542448135
"Andre Roberts","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3.35440060232298
"Andre Williams","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4.77594612620996
"Anthony Allen","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849
