playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
2552600,null,Nelson Agholor,WR,PHI,WR,PHI,-46.2006,76.9618,null,172,221,70,null,null,0.8186,167.5067,53.4933,1.7,89.672,55.8,8.0613,18
2532977,null,Kendall Wright,WR,TEN,WR,TEN,-46.4493,76.7131,null,154,222,71,null,null,4.4247,157.4825,64.5175,1.3825,89.9253,53.81,5.3184,23
2540215,null,Vance McDonald,TE,SF,TE,SF,-47.1439,63.6718,null,191,223,27,null,null,3.2604,160.425,62.575,0.6667,78.4461,44.1155,5.9895,null
2535698,null,Cole Beasley,WR,DAL,WR,DAL,-47.5892,75.5733,null,256,224,72,null,null,6.7516,191.88,32.12,0.35,87.717,58.6279,5.458,25
2550551,null,Travis Coons,K,CLE,K,CLE,-47.8224,107.2717,null,null,225,26,null,null,3.365,160.38,64.62,0.3633,113.6005,88.9258,3.5189,22
100007,null,Browns,DST,CLE,DST,CLE,-48.0612,88.7451,null,246,226,29,null,null,3.746,160.37,65.63,0.7567,100.9995,75.2,8.1205,2
324,null,Jacob Tamme,TE,ATL,TE,ATL,-48.9928,61.8229,null,261,227,28,null,null,2.8633,160.4,66.6,0.3333,65.7393,57.6454,4.0994,null
100008,null,Cowboys,DST,DAL,DST,DAL,-50.8634,85.9429,null,330,228,30,null,null,3.9293,159.47,68.53,0.46,96.5843,76,5.2865,16
2555408,null,Roberto Aguayo,K,TB,K,TB,-51.1578,103.9362,null,320,229,27,null,null,2.7212,158.326,70.674,1.53,120.7398,-3.866,6.4823,5
2550380,null,Cody Parkey,K,PHI,K,PHI,-51.2168,103.8773,null,null,230,28,null,null,5.4173,160.355,69.645,0.4367,126.5002,-1.4726,8.1161,2
2543481,null,Jace Amaro,TE,NYJ,TE,NYJ,-51.8157,59,null,237,231,29,null,null,1.289,183.75,47.25,0.6667,71.9515,32.6,7.0377,null
2550656,null,Cameron Brate,TE,TB,TE,TB,-51.8964,58.9193,null,223,232,30,null,null,2.5169,160.445,71.555,0.8333,83.0015,31.4,7.5838,2
100029,null,49ers,DST,SF,DST,SF,-52.751,84.0553,null,356,233,31,null,null,4.0836,160.115,72.885,0.7567,96.8674,50.3,9.3536,1
2552453,null,Tevin Coleman,RB,ATL,RB,ATL,-52.8563,81.5907,null,118,234,47,null,null,2.0663,122.4883,111.5117,2.2025,90.7711,56,6.9459,20
497302,null,Brandon LaFell,WR,CIN,WR,CIN,-54.159,69.0035,null,201,235,73,null,null,0.7295,186.96,48.04,0.7767,83.2049,50.96,5.4465,11
2555418,null,Jordan Howard,RB,CHI,RB,CHI,-54.1739,80.273,null,139,236,48,null,null,1.911,141.4367,94.5633,1.925,96.2932,50.1014,6.5373,18
2552399,null,Jeff Heuerman,TE,DEN,TE,DEN,-54.313,56.5027,null,325,237,31,null,null,1.7699,160.48,76.52,0.6667,71.614,41.2,6.0645,null
2550313,null,Richard Rodgers,TE,GB,TE,GB,-54.5136,56.3021,null,221,238,32,null,null,6.7497,160.52,77.48,1.0275,76.7736,30.8,7.6703,null
2530515,null,Chris Hogan,WR,NE,WR,NE,-54.5227,68.6398,null,180,239,74,null,null,1.1342,153.575,85.425,1.27,80.298,51.7076,5.2449,29
2543465,null,Teddy Bridgewater,QB,MIN,QB,MIN,-54.8937,211.8831,null,206,240,27,null,null,25.1629,130.9375,109.0625,1.96,223.483,199.02,8.1935,22
2555343,null,Josh Doctson,WR,WAS,WR,WAS,-55.2544,67.9081,null,155,241,75,null,null,0.9815,129.538,111.462,3.075,79.9838,46.6,7.0283,null
2555223,null,Devontae Booker,RB,DEN,RB,DEN,-55.6712,78.7757,null,165,242,49,null,null,1.0566,128.06,113.94,2.4275,99.6374,61.8,5.5824,13
2543646,null,Bruce Ellington,WR,SF,WR,SF,-56.0593,67.1031,null,177,243,76,null,null,0.7906,167.0025,75.9975,0.6667,89.0075,42.98,6.2348,6
2552415,null,Jamison Crowder,WR,WAS,WR,WAS,-56.4123,66.7502,null,228,244,77,null,null,2.0899,201.3,42.7,0.6667,86.5602,46.2774,6.4618,13
2543715,null,Jerick McKinnon,RB,MIN,RB,MIN,-56.4986,77.9483,null,151,245,50,null,null,2.7844,141.066,103.934,2.1867,91.7622,59.9,3.4671,15
89802,null,Ryan Succop,K,TEN,K,TEN,-56.5414,98.5527,null,null,246,29,null,null,1.0499,160.41,85.59,0.3333,109.7669,80.7,2.6229,26
2553648,null,Andrew Franks,K,MIA,K,MIA,-56.7268,98.3672,null,null,247,30,null,null,1.9543,160.42,86.58,0.4233,112.2402,62.4,6.2024,7
100022,null,Saints,DST,NO,DST,NO,-56.8346,79.9717,null,332,248,32,null,null,null,160.175,87.825,0.3333,113.5319,72.8,6.6049,5
2555417,null,C.J. Prosise,RB,SEA,RB,SEA,-56.9571,77.4899,null,145,249,51,null,null,4.6698,123.9267,125.0733,2.4325,91.6134,49.2316,7.8634,7
