"","X","year","owner","player","team","pos","value","keeper","first_name","lag1","lag2","lag3","lag4","lag5"
"195",1002,2015,"Harrington","C.J. Spiller","NO","RB",6,0,"C.J.",35,96,10,1,17
"196",80,2010,"Regan","Clinton Portis","Was","RB",1,0,"Clinton",NA,NA,NA,NA,NA
"197",574,2012,"Olson","Coby Fleener","Ind","TE",1,0,"Coby",NA,NA,NA,NA,NA
"198",1023,2015,"Higdon","Coby Fleener","Ind","TE",1,0,"Coby",NA,NA,1,NA,NA
"199",1084,2015,"Thieneman","Cody Latimer","Den","WR",1,0,"Cody",NA,NA,NA,NA,NA
"200",1021,2015,"Higdon","Cody Parkey","Phi","K",1,0,"Cody",NA,NA,NA,NA,NA
"201",1103,2015,"Matovina","Cole Beasley","Dal","WR",1,0,"Cole",NA,NA,NA,NA,NA
"202",1093,2015,"Matovina","Colin Kaepernick","SF","QB",31,0,"Colin",NA,NA,NA,NA,NA
"203",278,2011,"Shokunbi","Colt McCoy","Cle","QB",10,0,"Colt",NA,NA,NA,NA,NA
"204",314,2011,"Thieneman","Colts D/ST","Ind","D/ST",3,0,"Colts",NA,NA,NA,NA,NA
"205",791,2014,"Kane","Cordarrelle Patterson","Min","WR",30,0,"Cordarrelle",NA,NA,NA,NA,NA
"206",46,2010,"Harrington","Cowboys D/ST","Dal","D/ST",2,0,"Cowboys",NA,NA,NA,NA,NA
"207",475,2012,"Shokunbi","Cowboys D/ST","Dal","D/ST",1,0,"Cowboys",NA,2,NA,NA,NA
"208",22,2010,"Kane","Dallas Clark","Ind","TE",22,0,"Dallas",NA,NA,NA,NA,NA
"209",264,2011,"Regan","Dallas Clark","Ind","TE",30,0,"Dallas",22,NA,NA,NA,NA
"210",522,2012,"Matovina","Dan Bailey","Dal","K",2,0,"Dan",NA,NA,NA,NA,NA
"211",937,2014,"Skrzyskewski","Dan Bailey","Dal","K",1,0,"Dan",NA,2,NA,NA,NA
"212",1111,2015,"Ready","Dan Bailey","Dal","K",1,0,"Dan",1,NA,2,NA,NA
"213",380,2011,"Olson","Daniel Thomas","Mia","RB",20,0,"Daniel",NA,NA,NA,NA,NA
"214",572,2012,"Olson","Daniel Thomas","Mia","RB",4,0,"Daniel",20,NA,NA,NA,NA
"215",219,2011,"Kane","Danny Amendola","StL","WR",2,0,"Danny",NA,NA,NA,NA,NA
"216",695,2013,"Thieneman","Danny Amendola","NE","WR",18,0,"Danny",NA,2,NA,NA,NA
"217",783,2014,"Hartman","Danny Amendola","NE","WR",4,0,"Danny",18,NA,2,NA,NA
"218",344,2011,"Ready","Danny Woodhead","NE","RB",3,0,"Danny",NA,NA,NA,NA,NA
"219",843,2014,"Regan","Danny Woodhead","SD","RB",2,0,"Danny",NA,NA,3,NA,NA
"220",1083,2015,"Thieneman","Danny Woodhead","SD","RB",1,0,"Danny",2,NA,NA,3,NA
"221",185,2010,"Olson","Darren McFadden","Oak","RB",8,0,"Darren",NA,NA,NA,NA,NA
"222",565,2012,"Olson","Darren McFadden","Oak","RB",48,0,"Darren",NA,8,NA,NA,NA
"223",694,2013,"Thieneman","Darren McFadden","Oak","RB",35,0,"Darren",48,NA,8,NA,NA
"224",892,2014,"Thieneman","Darren McFadden","Oak","RB",1,0,"Darren",35,48,NA,8,NA
"225",969,2015,"Hartman","Darren McFadden","Dal","RB",5,0,"Darren",1,35,48,NA,8
"226",136,2010,"Matovina","Darren Sproles","SD","RB",1,0,"Darren",NA,NA,NA,NA,NA
"227",483,2012,"McShane","Darren Sproles","NO","RB",26,0,"Darren",NA,1,NA,NA,NA
"228",678,2013,"McShane","Darren Sproles","Phi","RB",31,0,"Darren",26,NA,1,NA,NA
"229",953,2014,"Olson","Darren Sproles","Phi","RB",1,0,"Darren",31,26,NA,1,NA
"230",447,2012,"Higdon","Darrius Heyward-Bey","Oak","WR",3,0,"Darrius",NA,NA,NA,NA,NA
"231",712,2013,"Matovina","Darrius Heyward-Bey","Pit","WR",1,0,"Darrius",3,NA,NA,NA,NA
"232",396,2012,"Hartman","Darvin Adams","FA","WR",1,0,"Darvin",NA,NA,NA,NA,NA
"233",668,2013,"Shokunbi","Daryl Richardson","StL","RB",20,0,"Daryl",NA,NA,NA,NA,NA
"234",1078,2015,"Thieneman","Davante Adams","GB","WR",42,0,"Davante",NA,NA,NA,NA,NA
"235",173,2010,"Skrzyskewski","David Akers","Phi","K",2,0,"David",NA,NA,NA,NA,NA
"236",568,2012,"Olson","David Akers","SF","K",1,0,"David",NA,2,NA,NA,NA
"237",699,2013,"Thieneman","David Akers","Det","K",1,0,"David",1,NA,2,NA,NA
"238",1085,2015,"Thieneman","David Cobb","Ten","RB",1,0,"David",NA,NA,NA,NA,NA
"239",73,2010,"Regan","David Garrard","Jac","QB",2,0,"David",NA,NA,NA,NA,NA
"240",342,2011,"Ready","David Garrard","FA","QB",3,0,"David",2,NA,NA,NA,NA
"241",1087,2015,"Thieneman","David Johnson","Ari","RB",1,0,"David",NA,NA,NA,NA,NA
"242",445,2012,"Higdon","David Wilson","NYG","RB",6,0,"David",NA,NA,NA,NA,NA
"243",239,2011,"Harrington","Davone Bess","Mia","WR",1,0,"Davone",NA,NA,NA,NA,NA
"244",619,2013,"Harrington","DeAndre Hopkins","Hou","WR",2,0,"DeAndre",NA,NA,NA,NA,NA
"245",858,2014,"Shokunbi","DeAndre Hopkins","Hou","WR",5,0,"DeAndre",2,NA,NA,NA,NA
"246",1108,2015,"Ready","DeAndre Hopkins","Hou","WR",42,0,"DeAndre",5,2,NA,NA,NA
"247",115,2010,"Thieneman","DeAngelo Williams","Car","RB",53,0,"DeAngelo",NA,NA,NA,NA,NA
"248",214,2011,"Kane","DeAngelo Williams","Car","RB",40,0,"DeAngelo",53,NA,NA,NA,NA
"249",507,2012,"Thieneman","DeAngelo Williams","Car","RB",8,0,"DeAngelo",40,53,NA,NA,NA
"250",616,2013,"Harrington","DeAngelo Williams","Car","RB",13,0,"DeAngelo",8,40,53,NA,NA
"251",814,2014,"Harrington","DeAngelo Williams","Car","RB",2,0,"DeAngelo",13,8,40,53,NA
"252",999,2015,"Harrington","DeAngelo Williams","Pit","RB",8,0,"DeAngelo",2,13,8,40,53
"253",238,2011,"Harrington","Deion Branch","NE","WR",1,0,"Deion",NA,NA,NA,NA,NA
"254",895,2014,"Thieneman","Delanie Walker","Ten","TE",1,0,"Delanie",NA,NA,NA,NA,NA
"255",984,2015,"Kane","Delanie Walker","Ten","TE",3,0,"Delanie",1,NA,NA,NA,NA
"256",514,2012,"Matovina","DeMarco Murray","Dal","RB",69,0,"DeMarco",NA,NA,NA,NA,NA
"257",677,2013,"McShane","DeMarco Murray","Dal","RB",32,0,"DeMarco",69,NA,NA,NA,NA
"258",787,2014,"Kane","DeMarco Murray","Dal","RB",71,0,"DeMarco",32,69,NA,NA,NA
"259",995,2015,"Harrington","DeMarco Murray","Phi","RB",69,0,"DeMarco",71,32,69,NA,NA
"260",487,2012,"McShane","Denarius Moore","Oak","WR",14,0,"Denarius",NA,NA,NA,NA,NA
"261",605,2013,"Kane","Denarius Moore","Oak","WR",4,0,"Denarius",14,NA,NA,NA,NA
"262",874,2014,"McShane","Dennis Pitta","Bal","TE",4,0,"Dennis",NA,NA,NA,NA,NA
"263",1006,2015,"Harrington","Derek Carr","Oak","QB",17,0,"Derek",NA,NA,NA,NA,NA
"264",603,2013,"Kane","Derek Dimke","NO","K",1,0,"Derek",NA,NA,NA,NA,NA
"265",41,2010,"Harrington","Derrick Mason","Bal","WR",7,0,"Derrick",NA,NA,NA,NA,NA
"266",67,2010,"Regan","DeSean Jackson","Phi","WR",35,0,"DeSean",NA,NA,NA,NA,NA
"267",198,2011,"Hartman","DeSean Jackson","Phi","WR",37,0,"DeSean",35,NA,NA,NA,NA
"268",423,2012,"Harrington","DeSean Jackson","Phi","WR",37,0,"DeSean",37,35,NA,NA,NA
"269",587,2013,"Hartman","DeSean Jackson","Wsh","WR",26,0,"DeSean",37,37,35,NA,NA
"270",885,2014,"Thieneman","DeSean Jackson","Wsh","WR",26,0,"DeSean",26,37,37,35,NA
"271",1046,2015,"Shokunbi","DeSean Jackson","Wsh","WR",13,0,"DeSean",26,26,37,37,35
"272",975,2015,"Hartman","DeVante Parker","Mia","WR",2,0,"DeVante",NA,NA,NA,NA,NA
"273",15,2010,"Hartman","Devery Henderson","NO","WR",1,0,"Devery",NA,NA,NA,NA,NA
"274",155,2010,"Ready","Devin Aromashodu","Chi","WR",1,0,"Devin",NA,NA,NA,NA,NA
"275",1079,2015,"Thieneman","Devin Funchess","Car","WR",13,0,"Devin",NA,NA,NA,NA,NA
"276",1115,2015,"Ready","Devonta Freeman","Atl","RB",1,0,"Devonta",NA,NA,NA,NA,NA
"277",91,2010,"Shokunbi","Dez Bryant","Dal","WR",13,0,"Dez",NA,NA,NA,NA,NA
"278",296,2011,"McShane","Dez Bryant","Dal","WR",46,0,"Dez",13,NA,NA,NA,NA
"279",451,2012,"Regan","Dez Bryant","Dal","WR",36,0,"Dez",46,13,NA,NA,NA
"280",691,2013,"Thieneman","Dez Bryant","Dal","WR",58,0,"Dez",36,46,13,NA,NA
"281",803,2014,"Harrington","Dez Bryant","Dal","WR",78,0,"Dez",58,36,46,13,NA
"282",1060,2015,"McShane","Dez Bryant","Dal","WR",84,0,"Dez",78,58,36,46,13
"283",1069,2015,"McShane","Dolphins D/ST","Dolphins ","D/ST",2,0,"Dolphins",NA,NA,NA,NA,NA
"284",62,2010,"Higdon","Donald Brown","Ind","RB",5,0,"Donald",NA,NA,NA,NA,NA
"285",571,2012,"Olson","Donald Brown","Ind","RB",7,0,"Donald",NA,5,NA,NA,NA
"286",795,2014,"Kane","Donald Brown","SD","RB",1,0,"Donald",NA,7,NA,5,NA
"287",117,2010,"Thieneman","Donald Driver","GB","WR",22,0,"Donald",NA,NA,NA,NA,NA
"288",235,2011,"Harrington","Donald Driver","GB","WR",1,0,"Donald",22,NA,NA,NA,NA
"289",39,2010,"Harrington","Donovan McNabb","Was","QB",7,0,"Donovan",NA,NA,NA,NA,NA
"290",310,2011,"Thieneman","Donovan McNabb","FA","QB",13,0,"Donovan",7,NA,NA,NA,NA
"291",1101,2015,"Matovina","Doug Baldwin","Sea","WR",1,0,"Doug",NA,NA,NA,NA,NA
"292",552,2012,"Skrzyskewski","Doug Martin","TB","RB",10,0,"Doug",NA,NA,NA,NA,NA
"293",898,2014,"Matovina","Doug Martin","TB","RB",73,0,"Doug",NA,10,NA,NA,NA
"294",1019,2015,"Higdon","Doug Martin","TB","RB",11,0,"Doug",73,NA,10,NA,NA
"295",17,2010,"Kane","Drew Brees","NO","QB",78,0,"Drew",NA,NA,NA,NA,NA
"296",213,2011,"Kane","Drew Brees","NO","QB",76,0,"Drew",78,NA,NA,NA,NA
"297",435,2012,"Higdon","Drew Brees","NO","QB",102,0,"Drew",76,78,NA,NA,NA
"298",755,2013,"Olson","Drew Brees","NO","QB",101,0,"Drew",102,76,78,NA,NA
"299",948,2014,"Olson","Drew Brees","NO","QB",106,0,"Drew",101,102,76,78,NA
"300",981,2015,"Kane","Drew Brees","NO","QB",85,0,"Drew",106,101,102,76,78
"301",1068,2015,"McShane","Duke Johnson","Cle","RB",8,0,"Duke",NA,NA,NA,NA,NA
"302",287,2011,"Shokunbi","Dustin Keller","NYJ","TE",1,0,"Dustin",NA,NA,NA,NA,NA
"303",1149,2015,"Olson","Dwayne Allen","Ind","TE",1,0,"Dwayne",NA,NA,NA,NA,NA
"304",151,2010,"Ready","Dwayne Bowe","KC","WR",20,0,"Dwayne",NA,NA,NA,NA,NA
"305",247,2011,"Higdon","Dwayne Bowe","KC","WR",41,0,"Dwayne",20,NA,NA,NA,NA
"306",470,2012,"Shokunbi","Dwayne Bowe","KC","WR",26,0,"Dwayne",41,20,NA,NA,NA
"307",756,2013,"Olson","Dwayne Bowe","KC","WR",27,0,"Dwayne",26,41,20,NA,NA
"308",920,2014,"Ready","Dwayne Bowe","KC","WR",2,0,"Dwayne",27,26,41,20,NA
"309",186,2010,"Olson","Eagles D/ST","Phi","D/ST",2,0,"Eagles",NA,NA,NA,NA,NA
"310",295,2011,"McShane","Eagles D/ST","Phi","D/ST",3,0,"Eagles",2,NA,NA,NA,NA
"311",537,2012,"Ready","Eagles D/ST","Phi","D/ST",3,0,"Eagles",3,2,NA,NA,NA
"312",1098,2015,"Matovina","Eagles D/ST","Eagles ","D/ST",1,0,"Eagles",NA,NA,3,3,2
"313",140,2010,"Matovina","Early Doucet","Ari","WR",1,0,"Early",NA,NA,NA,NA,NA
"314",612,2013,"Harrington","Eddie Lacy","GB","RB",30,0,"Eddie",NA,NA,NA,NA,NA
"315",109,2010,"McShane","Eddie Royal","Den","WR",1,0,"Eddie",NA,NA,NA,NA,NA
"316",232,2011,"Harrington","Eddie Royal","Den","WR",1,0,"Eddie",1,NA,NA,NA,NA
"317",1148,2015,"Olson","Eddie Royal","Chi","WR",1,0,"Eddie",NA,NA,NA,1,1
"318",702,2013,"Thieneman","EJ Manuel","Buf","QB",1,0,"EJ",NA,NA,NA,NA,NA
"319",854,2014,"Shokunbi","EJ Manuel","Buf","QB",5,0,"EJ",1,NA,NA,NA,NA
"320",58,2010,"Higdon","Eli Manning","NYG","QB",17,0,"Eli",NA,NA,NA,NA,NA
"321",277,2011,"Shokunbi","Eli Manning","NYG","QB",42,0,"Eli",17,NA,NA,NA,NA
"322",563,2012,"Olson","Eli Manning","NYG","QB",49,0,"Eli",42,17,NA,NA,NA
"323",662,2013,"Shokunbi","Eli Manning","NYG","QB",56,0,"Eli",49,42,17,NA,NA
"324",900,2014,"Matovina","Eli Manning","NYG","QB",18,0,"Eli",56,49,42,17,NA
"325",997,2015,"Harrington","Eli Manning","NYG","QB",60,0,"Eli",18,56,49,42,17
"326",762,2013,"Olson","Emmanuel Sanders","Den","WR",4,0,"Emmanuel",NA,NA,NA,NA,NA
"327",857,2014,"Shokunbi","Emmanuel Sanders","Den","WR",17,0,"Emmanuel",4,NA,NA,NA,NA
"328",1012,2015,"Higdon","Emmanuel Sanders","Den","WR",36,0,"Emmanuel",17,4,NA,NA,NA
"329",391,2012,"Hartman","Eric Decker","Den","WR",21,0,"Eric",NA,NA,NA,NA,NA
"330",661,2013,"Shokunbi","Eric Decker","NYJ","WR",18,0,"Eric",21,NA,NA,NA,NA
"331",826,2014,"Higdon","Eric Decker","NYJ","WR",10,0,"Eric",18,21,NA,NA,NA
"332",1097,2015,"Matovina","Eric Decker","NYJ","WR",6,0,"Eric",10,18,21,NA,NA
"333",378,2011,"Olson","Falcons D/ST","Atl","D/ST",1,0,"Falcons",NA,NA,NA,NA,NA
"334",412,2012,"Kane","Falcons D/ST","Atl","D/ST",2,0,"Falcons",1,NA,NA,NA,NA
"335",148,2010,"Ready","Felix Jones","Dal","RB",20,0,"Felix",NA,NA,NA,NA,NA
"336",328,2011,"Matovina","Felix Jones","Dal","RB",24,0,"Felix",20,NA,NA,NA,NA
"337",524,2012,"Matovina","Felix Jones","Dal","RB",2,0,"Felix",24,20,NA,NA,NA
"338",131,2010,"Matovina","Frank Gore","SF","RB",81,0,"Frank",NA,NA,NA,NA,NA
"339",293,2011,"McShane","Frank Gore","SF","RB",62,0,"Frank",81,NA,NA,NA,NA
"340",421,2012,"Harrington","Frank Gore","SF","RB",29,0,"Frank",62,81,NA,NA,NA
"341",644,2013,"Regan","Frank Gore","SF","RB",61,0,"Frank",29,62,81,NA,NA
