"","player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost","ppg"
"154","Sam Bradford","QB",152.8,13.09,10,NA,21,NA,14,80.9,NA,145.4,NA,98.8,30,NA,17,15,NA,15.136151436676,14.0631846153846
"155","Javorius Allen","RB",154.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.24229988465594,5.60291538461539
"156","Josh Doctson","WR",154.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.24229988465594,5.2237
"157","Mike Wallace","WR",154.5,13.11,35,32,26,20,8,86.8,76.1,67.6,51.2,23.9,22,13,31,46,NA,16.014144856446,6.80641538461539
"158","Alfred Morris","RB",155,13.11,16,12,10,48,NA,34.6,24.2,11.1,144.8,NA,NA,NA,NA,NA,NA,17.191755746296,3.66236153846154
"159","Christine Michael","RB",155.3,13.11,NA,53,48,NA,NA,NA,143.9,128.4,NA,NA,NA,NA,1,NA,NA,8.80751672728881,3.32589230769231
"160","Tyler Boyd","WR",155.7,13.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.24229988465594,6.07958461538461
"161","Darren Sproles","RB",156,13.12,48,33,22,17,44,120.5,80.7,33.5,30.3,123.2,NA,1,31,26,NA,12.6708202482186,7.36454615384615
"162","Darren McFadden","RB",156.1,13.12,34,46,23,4,9,80.3,118.2,39.8,6.4,13.8,5,1,35,48,NA,15.3002982962667,4.63203846153846
"163","Jerick McKinnon","RB",156.2,13.12,57,NA,NA,NA,NA,152.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.71909727228239,5.99602307692308
"164","Michael Thomas","WR",156.8,14.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709,6.89316923076923
